specimen.ID,species,caste,investigator,wing,scale,LM,x,y,scale 1,body,notes
,,,,,,5,1446,448,,,
,,,,,,6,1407,494,,,
JL190724-005,tern,W,JL,hindwing,142.814,1,1470.667,710,,,
,,,,,,2,1592,778.667,,,
,,,,,,3,1583.333,795.333,,,
,,,,,,4,1484.667,799.333,,,
,,,,,,5,1336.667,794,,,
,,,,,,6,1314.667,832,,,
JL190731-001,imp,W,JL,hindwing,142.949,1,1464.333,659.333,,,
,,,,,,2,1595.667,706,,,
,,,,,,3,1588.333,724.667,,,
,,,,,,4,1497.667,746,,,
,,,,,,5,1333,762.667,,,
,,,,,,6,1314.333,798.667,,,
JL190731-002,imp,W,JL,hindwing,141.98,1,1352,505,,,
,,,,,,2,1504,577.667,,,
,,,,,,3,1489.333,598.333,,,
,,,,,,4,1376.667,604.333,,,
,,,,,,5,1194,606.333,,,
,,,,,,6,1165.333,647.667,,,
JL190731-003,imp,W,JL,hindwing,140.797,1,1652,528,,,
,,,,,,2,1791,623,,,
,,,,,,3,1778,643,,,
,,,,,,4,1666,636,,,
,,,,,,5,1476,614,,,
,,,,,,6,1446,653,,,
JL190731-004,bimac,W,JL,hindwing,141.007,1,1710,499,,,
,,,,,,2,1878,606,,,
,,,,,,3,1864,627,,,
,,,,,,4,1718,621,,,
,,,,,,5,1528,603,,,
,,,,,,6,1477,647,,,
JL190731-005,bimac,W,JL,hindwing,141.802,1,1545,430,,,
,,,,,,2,1689,517,,,
,,,,,,3,1680,537,,,
,,,,,,4,1546,532,,,
,,,,,,5,1394,523,,,
,,,,,,6,1356,566,,,
JL190806-001,vag,M,JL,hindwing,201.134,1,1698.667,520.667,,,
,,,,,,2,1940,674,,,
,,,,,,3,1921.333,714,,,
,,,,,,4,1702.667,703.333,,,
,,,,,,5,1429.333,679.333,,,
,,,,,,6,1356,747.333,,,
JL190806-002,bimac,M,JL,hindwing,203.376,1,1356.667,326.667,,,
,,,,,,2,1607.333,448,,,
,,,,,,3,1590,476,,,
,,,,,,4,1082,484,,,
,,,,,,5,1030,570.667,,,
,,,,,,6,0,0,,,
JL190806-004,bimac,W,JL,hindwing,140.778,1,1754,618.667,,,
,,,,,,2,1919.333,712,,,
,,,,,,3,1908.667,733.333,,,
,,,,,,4,1782,732,,,
,,,,,,5,1604.667,726.667,,,
,,,,,,6,1564.667,769.333,,,
JL190806-005,imp,W,JL,hindwing,200.416,1,1605,494,,,
,,,,,,2,1829,620.667,,,
,,,,,,3,1806.333,652.667,,,
,,,,,,4,1625,654,,,
,,,,,,5,1341,636.667,,,
,,,,,,6,1290.333,700.667,,,
JL190806-006,imp,W,JL,hindwing,199.714,1,1544,221,,,
,,,,,,2,1737,331,,,
,,,,,,3,1721,352,,,
,,,,,,4,1572,353,,,
,,,,,,5,1316,346,,,
,,,,,,6,1279,402,,,
JL190806-007,imp,W,JL,hindwing,142.082,1,1497.667,509.333,,,
,,,,,,2,1665.667,610.667,,,
,,,,,,3,1648.333,630.667,,,
,,,,,,4,1527,629.333,,,
,,,,,,5,1311,616,,,
,,,,,,6,1271,664,,,
JL190806-008,bimac,W,JL,hindwing,140.358,1,1528,568,,,
,,,,,,2,1683,673,,,
